RAZON SOCIAL,DIR-COMERCIAL,BARRIO-COMERCIAL,MUN-COMERCIAL,TEL-COM-1,TEL-COM-2,TEL-COM-3,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD
ESTACIÓN DE SERVICIO VALLE,K30        18       06,00474 - VILLANUEVA,76834 - TULUA,2244391,2323560,3176757538,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4731 ** Comercio al por menor de combustible para automotores,COMERCIO AL POR MENOR DE LUBRICANTES COMBUSTIBLE Y LUBRICANTES PARA AUTOMOTORES
REPUESTOS OSPINA JO,K 31        16       60,00456 - SAN VICENTE DE PAUL,76834 - TULUA,2251914,2251914,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJO) PARA VEHICULOS AUTOMOTORES. MANTENIMIENTO Y REPARACION DE VEHICULOS
ENERGITECA,K 30 21 02,,76834 - TULUA,2244343,,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4774 ** Comercio al por menor de otros productos nuevos en establecimientos especializados,COMERCIO DE PARTES PIEZAS AUTO PARTES DE ACCESORIOS  COMERCIO AL POR MAYOR DE LUBRICANTES ADICTIVOS Y PRODUCTOS DE LIMPIEZA  MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
ALMACEN MULTISERVICIOS,K 38        33       36,00476 - EL CENTRO,76834 - TULUA,2253108,,3014032775,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER AUTOMOTRIZ RICARDO VELEZ,CRA 28 42-10 ESQUINA,00489 - LAS ACACIAS,76834 - TULUA,2253422,3172548670,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
CENTRO AUTOS,CARRERA 27A NRO. 35-53,00492 - SALESIANO,76834 - TULUA,3163438800,3155725325,3163438800,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AGRICOLA AUTOMOTRIZ S.A.S.,CRA 40 NRO 43    -   10,00443 - FATIMA,76834 - TULUA,2257749,,,G4511 ** Comercio de vehiculos automotores nuevos,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,COMERCIALIZACION DE VEHICULO NUEVOS  MANTENIMIENTO Y REPARACION DE VEHICULOS Y COMERCIO DE PARTES Y ACCESORIOS PARA VEHICULOS AUTOMOTORES
AUTOLAVADO SAN DIEGO VALENCIA,K 20        23       45,00477 - ESCOBAR,76834 - TULUA,3162547349,2320828,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,ACTIVIDADES DE ESTACIONES  VIAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE
CENTRO MOTORS S.A.,K40        26       50,00456 - SAN VICENTE DE PAUL,76834 - TULUA,2339713,,,G4511 ** Comercio de vehiculos automotores nuevos,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,K6621 ** Actividades de agentes y corredores de seguros,VENTA AL POR MENOR DE VEHÍCULOS NUEVOS  REPUESTOS Y ACCESORIOS DE LOS MISMOS  MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES. VENTA DE SEGUROS
TALLER ARISTIZABAL,K 28        36       28,00481 - AVENIDA CALI,76834 - TULUA,3006529203,2258821,3006529203,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER CASTRILLON,CARRERA  25C 14B   55 1ER PISO ESQUINA,00575 - LA GRACIELA,76834 - TULUA,3175751333,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO DE VEHÍCULOS
TALLER ELECTRO AIRES Y AIRES,K 40        29       06,00446 - PANAMERICANO,76834 - TULUA,3155536463,3155536463,3155536463,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
AUTO- MAZDA,K29        23       25,00474 - VILLANUEVA,76834 - TULUA,2257233,3164924701,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TECNHIDRAULICO,K 40       31            66,00445 - MIRAFLORES,76834 - TULUA,3136081457,3158493017,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES MANTENIMIENTO Y REPARACION ESPECIALIZADO DE MAQUINARIA Y EQUIPO COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
TRACTO FORD,K  7        22A      11,00519 - LAS AMÉRICAS,76834 - TULUA,2326599,,3117442674,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
ESTACION SAN ANTONIO,CRA 30 N° 18 - 56,00474 - VILLANUEVA,76834 - TULUA,2333344,3176583790,,G4731 ** Comercio al por menor de combustible para automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4542 ** Mantenimiento y reparacion de motocicletas y de sus partes y piezas,,COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES
TAPICES COSMOS,CLL 30      34A  - 14,00448 - VICTORIA,76834 - TULUA,3152881371,2241256,3152881371,S9524 ** Reparacion de muebles y accesorios para el hogar,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,REPARACION DE MUEBLES Y ACCESORIOS PARA EL HOGAR MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
MUELLES LA 40,K40        28 C     44,00446 - PANAMERICANO,76834 - TULUA,3182553972,2246924,3182553972,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
ESTACION Y SERVITECA LOS PROFESIONALES,K27 A      34       17,00481 - AVENIDA CALI,76834 - TULUA,2249099,,,G4731 ** Comercio al por menor de combustible para automotores,S9601 ** Lavado y limpieza  incluso la limpieza en seco  de productos textiles y de piel,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,COMERCIO AL POR MENOR DE COMBUSTIBLES Y LUBRICANTES
CARD LLANTAS,CR 40 # 37 - 51,00442 - EL RETIRO,76834 - TULUA,3108913046,3738010,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES     MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER AUTOASOCIADOS,K30        19       08,00474 - VILLANUEVA,76834 - TULUA,2256323,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
AUTOMOTRIZ  NELSON,CARRERA 11 Nro.5 -01,,76895 - ZARZAL,2209913,3127327317,3127327317,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER ROLDAN,CR 30 16 49,00451 - ALVERNIA,76834 - TULUA,2259393,,3137401902,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TODO GUAYAS,C 21       30       20,00452 - CESPEDES,76834 - TULUA,2262129,,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
TALLER CENTRAUTOS,CRA  41      29      31,00444 - JAZMÍN,76834 - TULUA,2242044,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
ALMACEN Y TALLER CHEVROAUTOS,CRA 33 NO. 36 71,00443 - FATIMA,76834 - TULUA,3174771013,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,SERVICIO MANTENIMIENTO AUTOMOTRIZ
TECNIOSKAR,CALLE 21 N 30 -15,00452 - CESPEDES,76834 - TULUA,3148281524,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO DE VEHÍCULOS AUTOMOTORES
LLANTAS AGRICOLAS S.A.S.,K 40        42B      22,00450 - VILLA DEL RÍO,76834 - TULUA,2262979,,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,K6621 ** Actividades de agentes y corredores de seguros,,COMERCIO DE PIEZAS Y AUTOPARTES
BIELAUTO,K30        23       27,00452 - CESPEDES,76834 - TULUA,3178002424,,3178002424,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SEGURAUTOS TULUA,C13        38 B     53,00468 - MORALES,76834 - TULUA,2257595,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
GENTE COOL,CARRERA 47 NRO 35 B 05 OFICINA 302 EDIFICIO ELIM,00449 - VILLA CAMPESTRE,76834 - TULUA,3162343639,,,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,MANTENIMIENTO Y REPARACION ESPECIALIZADO DE MAQUINARIA Y EQUIPO
EDS. ENTRE RIOS,K 30        16       03,00453 - ENTRE RIOS,76834 - TULUA,2252510,,3147943875,G4731 ** Comercio al por menor de combustible para automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHICULOS AUTOMOTORES
TALLER DE SERVICIO ELECTRICO HERNAN,C 24        31       40,00452 - CESPEDES,76834 - TULUA,3113832173,2262421,3113832173,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER METALMECANICO MAZUERA,K 29 Nº 17-65,00470 - POPULAR,76834 - TULUA,3187563001,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
LAVATECA LA 20,K20        22       21,00477 - ESCOBAR,76834 - TULUA,3104899002,3104899002,3104899002,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADO DE VEHICULOS
TALLER MARTINEZ,K28 A      18       26,00474 - VILLANUEVA,76834 - TULUA,3136021958,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTRIZ
SERVIAUTOS DEL SUR,CL 36        33         16,00448 - VICTORIA,76834 - TULUA,2316621,3116407289,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
TECNIFRENOS,CARRERA 40 NRO. 27- 64,00446 - PANAMERICANO,76834 - TULUA,3159270674,2255419,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
LAVATECA LA 23,CR 23 18 48,00577 - MARACAIBO,76834 - TULUA,3173759476,2259666,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
MONTAJE Y REPARACION AUTOMATICO DE LLANTAS WILSON,CRA 36 26 29,00448 - VICTORIA,76834 - TULUA,3164525042,,3206866137,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
MECANIZADOS INDUSTRIALES,K 40        28       30,00457 - SANTA LUCIA,76834 - TULUA,2251008,,3176368379,F4290 ** Construccion de otras obras de ingenieria civil,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,FABRICACIÓN DE ESTRUCTURAS METÁLICAS
VULCANIZADORA DUQUE,K  5        19       40,,76036 - ANDALUCIA,3117062248,3117062248,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
VULCANIZADORA ARANGO,C27        17       72,00500 - LA ESPERANZA,76834 - TULUA,3183799830,2247941,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER EL FLACO,CL 20        28B      43,00474 - VILLANUEVA,76834 - TULUA,3174597013,2250583,3167567392,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
LLANTOTAS,C 5        7             13,,76895 - ZARZAL,2035519,3183493519,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,K6621 ** Actividades de agentes y corredores de seguros,G4520 ** Mantenimiento y reparacion de vehiculos automotores,COMERCIO DE PARTES  PIEZAS AUTOPARTES Y ACCESORIOS LUJOS PARA VEHICULOS AUTOMOTORESCOMERCIO AL POR MENOR DE LUBRICANTES ACEITES  GRASAS  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHICULOS AUTOMOTORESACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROSMANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
MULTISERVICIOS EL TRIANGULO,C5         10       61,,76895 - ZARZAL,2206705,2206176,3174448676,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SERVICIOS TECNICOS VEHICULARES
PINTUVIDRIOS,K30        19       12,00470 - POPULAR,76834 - TULUA,2320238,,3147895794,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,,COMPRA Y VENTA DE VIDRIOS Y ACCESORIOS PARA VEHICULOS Y PINTURAS EN GENERAL AUTOMOTRIZ
AUTOGAS GAS NATURAL VEHICULAR S.A.S,C 23        39       15,00451 - ALVERNIA,76834 - TULUA,2321505,,,C2930 ** Fabricacion de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,FABRICACION DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
SOPORCAUCHOS EL MAGO,K 28       20  A         05,00480 - TOMÁS URIBE,76834 - TULUA,3154722375,2258759,3154722375,E3830 ** Recuperacion de materiales,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,SOPORTES PARA CARROS Y MOTOS Y MECÁNICA
DECAL WORKS,K 30        22       78,00457 - SANTA LUCIA,76834 - TULUA,2245752,,,M7310 ** Publicidad,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,PUBLICIDAD
ANTONIO SEGUNDO NUÑEZ MURCIA,CALLE  5  N 6A  -  47,,76895 - ZARZAL,2209242,3113541965,3113541965,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
FRENOS DE AIRE YELA - TULUA,K 40        28C      02,00446 - PANAMERICANO,76834 - TULUA,2241106,,3156604509,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES  PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES. MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
TALLER   NEVALMOTOS,C  5         6A       9,,76895 - ZARZAL,2209376,3116187937,3116187937,G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES.
CARROS TULUA.COM,K 40       29            57,00444 - JAZMÍN,76834 - TULUA,3158108673,,3158108673,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4512 ** Comercio de vehiculos automotores usados,,ACTIVIDADES DE ESTACIONES  VIAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE VEHICULOS AUTOMOTORES USADOS
LAVADERO SOLIS UNO A,CRA 26 N° 22-33,00480 - TOMÁS URIBE,76834 - TULUA,3232447098,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADERO DE VEHICULOS
FERDO AUTOS,K 29A       21       85,00474 - VILLANUEVA,76834 - TULUA,2321821,,3166269054,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
TALLER LUIS CANO,C 21        22       38,00479 - PALOBONITO,76834 - TULUA,3173822129,,3173822129,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TALLER VELANDIAUTOS,K 28        39       58,00481 - AVENIDA CALI,76834 - TULUA,2258239,,3117025335,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,TERMINACIÓN Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERÍA CIVIL .
TALLER R.D. AUTOS,CL 5 A 7 01,,76895 - ZARZAL,3163612061,3163612061,3163612061,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
TECNICOS AUTOMOTRIZ CORTES CARROCERIAS,K 27A       37       99,00481 - AVENIDA CALI,76834 - TULUA,3116022822,2262672,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,C2920 ** Fabricacion de carrocerias para vehiculos automotores  fabricacion de remolques y semirremolques,,,MANTENIMIENTO Y REPARACION DE VEHICULOS  FABRICACION DE CARROCERIAS PARA VEHICULOS AUTOMOTORES
SERVI CAR ELECTRICO,K 19        30       94,00507 - PUEBLO NUEVO,76834 - TULUA,3164419772,2250005,3164419772,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,TALLER DE CARROS
TECNO TALLER GIRALDO,K 29A       21       80,00474 - VILLANUEVA,76834 - TULUA,2240682,2240682,3175884123,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,,MANTENIMIENTO Y REPARACION DE VEHICULOS  VENTA DE PARTES  PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES
TALLER AC AUTOMOTRIZ,CR 33 A 25 61,00446 - PANAMERICANO,76834 - TULUA,2333330,,3155889933,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SERBIO - CAR,CL 14 NRO 22A-12,00577 - MARACAIBO,76834 - TULUA,2315697,3117617350,3148168405,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,LAVADO  DESINFECCION CON MANEJO DE PROTOCOLOS DE BIOSEGURIDAD.
MULTISERVICIOS PASIMINIO,CALLE  21  NRO  28 A - 43,00474 - VILLANUEVA,76834 - TULUA,3147624401,,3147624401,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
EXOSTOS CORREA,K 30        16       51,00453 - ENTRE RIOS,76834 - TULUA,3127367720,3105387803,3105387803,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SERVINACHO CAMPO VARGAS,K 27A       37      118,00481 - AVENIDA CALI,76834 - TULUA,3159267852,3159267852,2262911,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO DE VEHICULOS AUTOMOTORES
ELECTRO MAQUINARIA VICTORIA,MANZANA M CASA 4 LA PAZ,00578 - PORTALES DEL RIO,76834 - TULUA,2303724,3108394797,3188268007,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO DE VEHICULOS
AUTOMAS SERVICENTRO C.A.S.,C 27        16       29,,76834 - TULUA,3113638305,2254794,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
FULL RACING GEO,T 12        20       46,00528 - RUBÉN CRUZ VÉLEZ,76834 - TULUA,3165393023,,,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE MOTOCICLETAS Y DE SUS PARTES  PIEZAS Y ACCESORIOS MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SERVITAXIS DEL PARQUE INFANTIL,CRA 29   27 39,00476 - EL CENTRO,76834 - TULUA,2258096,,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,COMERCIO DE PARTES PIEZAS Y ACCESORIOS - LUJOS PARA VEHICULOS AUTOMOTORES
LAVADERO Y PARQUEADERO LAS DELICIAS CALLE 26A,C 26A       15       51,00501 - LAS DELICIAS,76834 - TULUA,3183133808,3183133808,,H5221 ** Actividades de estaciones  vias y servicios complementarios para el transporte terrestre,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,,ACTIVIDADES DE ESTACIONES  VIAS Y SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE TERRESTRE MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO AL POR MENOR DE BEBIDAS Y PRODUCTOS DEL TABACO  EN ESTABLECIMIENTOS ESPECIALIZADOS
MECANICA AUTOMOTRIZ ARCE,K 29 28 45,00448 - VICTORIA,76834 - TULUA,2258974,3154474217,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MECANICA AUTOMOTRIZ GENERAL
LUBRILLANTAS CRUBOR,C 13        38C      06,00461 - EL CONDOR,76834 - TULUA,3165698304,,3167446438,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,COMERCIALIZACION DE LLANTAS LUBRICANTES BATERIAS SERVICIOS
JHON JAIRO CASTAÑO LOPEZ,K 40 NRO 42 B 16,00450 - VILLA DEL RÍO,76834 - TULUA,3162553629,,3162553629,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
SERVILLANTAS Y AUTOPARTES LA 30,K 30       16            69,00453 - ENTRE RIOS,76834 - TULUA,2244507,3233669018,,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
EXOSTOS JOSE,K 29A       22A      40,00474 - VILLANUEVA,76834 - TULUA,3152767952,,3152767952,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,SOLDADURA DE EXOSTOS
VULCANIZADORA LOSADA,K 40        28       58,00446 - PANAMERICANO,76834 - TULUA,3152688538,3152688538,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
ALMACEN Y TALLER CLINIBOMBAS H2O,CAR 30 24 42,00474 - VILLANUEVA,76834 - TULUA,3154717178,,3154717178,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES
MONTALLANTAS EL RETEN DE LA URIBE,CGTO URIBE FRENTE AL PARADOR ROJO,,76113 - BUGALAGRANDE,3207458227,3207458227,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
WILSON MUELLES,CL 18 29 27,00470 - POPULAR,76834 - TULUA,3178534726,,,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHICULOS AUTOMOTORES
