Registro,Dispositivo,Fecha de nacimiento,Género,¿Qué tan satisfecho está con su vida actualmente?,¿Hasta qué punto siente que las cosas que hace en su vida diaria valen la pena?,"<b>Pensando en tu bienestar emocional, ¿qué tan feliz o ansioso(a) te sentiste ayer?</b>",<b>¿Qué aspecto cambiarías en Tuluá para mejorar tu bienestar y el de los demás?</b>,¿Mejorarías algo en tu Barrio?,¿En que barrio resides y que harías para mejorarlo?,Duración
2024-11-04 08:53:20,phone,1979-01-03,male,6,8,Feliz,"Mejorar la seguridad aun más, interviniendo en lo mas profundo de la delincuencia y la corrupción de las instituciones, mejorando así la inversión, producción y comercio, apoyando los campesinos en su producción y con todo esto aumentar la oferta de servicios y productos, bajando así los costos.",SI,"La Campiña, tener una JAC que funcione adecuadamente sin corrupción ni intereses particulares sino generales, seguridad y orden público.",04:56
2024-11-04 08:37:07,phone,1994-04-18,female,7,9,Neutral,"La seguridad a nivel general, y la cultura ciudadana. Hace falta mucho civismo y sentido de pertenencia por los espacios públicos, además del respeto de los motociclistas en las vias, hay poco respeto sl transitar por las calles",SI,Los huecos a la entrada de Bosques de Maracaibo,02:40
2024-11-04 08:25:46,phone,1956-02-19,male,8,8,Feliz,Salud.no ir a otra ciudad para atención medica.y trabajo.,SI,Los parques deben contar con equipos biosaludables,02:52
2024-11-04 07:59:12,phone,1988-03-09,male,9,10,Feliz,El pavimento de las calles,SI,"La seguridad, haría pavimentar las calles",01:07
2024-11-04 07:31:34,phone,1973-08-16,male,7,7,Feliz,"La seguridad es muy importante, porque si yo estoy tranquilo y todos nos sentimos seguros somos más felices.",SI,Palmas de San Antonio  mayor inversión en el deporte y la seguridad de mi barrio.,03:10
2024-11-04 07:09:11,phone,2000-09-07,female,7,7,Feliz,La seguridad y las pocas oportunidades que he encontrado para poder trabajar siendo estudiante universitaria,SI,"Enseguida de mi casa hay una cortadora de madera en la esperanza por la vía río frío, hace demasiada bulla y entra demasiado polvillo",04:42
2024-11-04 05:14:29,phone,1987-09-10,female,9,9,Feliz,La administración local,SI,"Villanueva, ese puente mal hecho que nos perjudicó a todos",01:10
2024-11-04 02:31:10,phone,1996-06-18,male,3,3,Neutral,"Que sea transformada con ambientes modernos dentro de la ciudad, hacer un buen marketing de ciudades para que tulua se vea más bonita y turística, que hayan más empresas grandes y medianas en tuluá para que generen empleo y que sigan impulsando a los pequeños comerciantes",SI,"Rubén Cruz Velez  Infraestructura vial, mayor aprovechamiento del centro cultural, más actividades de integración con la comunidad",02:43
2024-11-04 02:24:00,phone,1962-07-20,female,8,,Feliz,"Seguir con la seguridad que tenemos en este momento,con la ayuda de la policía y todas sus entidades aliadas",SI,Que allá más presencia de la policía,03:42
2024-11-04 02:03:23,phone,1986-08-02,male,7,10,Un poco ansioso,"Más cultura ,ferias del libros encuentros educativos senderismo jornadas ludicorecraativas",SI,Pavimentar las calles que faltan,02:38
2024-11-03 23:54:40,phone,1985-04-03,male,10,10,Muy Feliz,El gobierno corrupto de Gustavo Vélez,NO,San Pedro Claver,00:58
2024-11-03 23:52:55,phone,1989-10-08,female,8,9,Feliz,la posibilidad de acabar con la extorcion y se pueda trabajar tranquilos en nuestra ciudad,SI,barrio la trinidad mejorar la delincuencia venta de vicio y consumo,01:54
2024-11-03 22:58:04,phone,1964-09-19,female,9,9,Muy Feliz,"Que los habitantes de calle, no rieguen basura por todos lados. Que el lote ubicado en la calle 29 con carrera 29 dejara de ser basurero urbano. Que tapen los huecos de las calles, como en la administración de Tulua enamora.",SI,"Sector del río Tulua, entre calle 29 y carrera 29. Colaboraría con la siembra y mantenimiento de árboles.",07:17
2024-11-03 22:46:35,phone,1982-01-13,female,10,10,Muy Feliz,Que todo nuestro pueblo esté más seguro y la salud de nuestro tulua y un mejor futuro para nuestros abuelos,SI,Vivo en el barrio popular.. y que sean más Limpios recogiendo el popo de sus mascotas..,03:02
2024-11-03 22:37:45,phone,1970-12-13,male,8,8,Feliz,Convivencia ciudadana. Mejorar las vías públicas y parques,SI,Jazmin. Pavimentación. Y reubicación de la empresa maderas la rivera .debido a la contaminación ambiental y auditiva.,10:55
2024-11-03 22:21:13,phone,1962-10-10,male,10,10,Un poco ansioso,"Las oportunidades, menos trámites, educación social, Darle a los concejales manuales  de como ser un buen concejal.  Para que eligen  concejales los votantes. Aclararle a los concejales que lo son para la ciudadanía del municipio y no son concejales para su partido político.  Que más que se me olvid",SI,Entre ríos Ampliaría el conocimiento de los habitantes del barrio (Incluyéndome) en convivencia. No permitir la explosión de pólvora. ………….,17:43
2024-11-03 21:44:06,phone,1969-05-03,female,10,,Muy Feliz,Q tulua sea mas ordenado con los parques byc y bolibar y quitar a todos esas personas malas de hay,SI,En el.victoria haria q mejorar que la gente no sea imprudente con la caca del perro,03:58
2024-11-03 21:26:17,phone,1979-07-05,female,1,5,Temo por mi vida,"Poder trabajar tranquila, con confianza y seguridad. Poder cumplir y pagar más s obligaciones pero por el temor casi no puedo trabajar. Fui amenazada junto con mi familia.",SI,Buenos aires,02:42
2024-11-03 21:17:58,phone,1960-03-29,female,7,8,Neutral,Que se acabe las extorsiones a los comerciantes. Y que tapen los miles de huecos,NO,El lago,02:16
2024-11-03 21:07:51,phone,1982-07-04,male,8,8,Feliz,"La seguridad fundamental no hay nada, extorsiones por doquier, negocios cerrados, y parece que al gobierno no le importa ni un pito. No hay generación de empleos. No se ve inversión social. Que hace el alcalde llega ya dos años y nos e ve nada",SI,Nuevo príncipe. Seguridad. Vias sin pavimentar. Servicios públicos excesivamente caros,02:14
2024-11-03 21:06:56,phone,1989-02-21,male,3,8,Un poco ansioso,La seguridad vial y el ruido en los barrios por música a todo volumen,SI,,03:15
2024-11-03 21:05:41,phone,1976-12-23,male,10,9,Muy Feliz,Allan eventos culturales,SI,El principe,01:47
2024-11-03 21:04:11,phone,1984-05-09,male,5,,Muy ansioso,Mas apoyo al deporte tengo un torneo de niños y realmente muy difícil uno mismo sacar la premiacion y demas cosas me gustaría que estos programas deportivos los apoyaran mas debido aque esto alejaria a nuestros niños de la calle.,SI,Aguaclara crearía mi propia escuela de fudbol y asi  nuestros niños y jóvenes puedan ocuparsen en el deporte.,04:25
2024-11-03 21:02:17,phone,1989-02-21,male,3,8,Un poco ansioso,La convivencia entre vecinos ya que no respetan y hacen ruido con equipos de sonido excesivo y se enfiestan sin tener en cuenta el bienestar de los demás se llaman a las autoridades  o policía y nunca acuden sintiéndose uno desprotegido,SI,Barrio asogrin la santa Cruz vía la Marina,03:24
2024-11-03 20:47:02,phone,1963-04-13,male,8,8,Feliz,,SI,La Graciela y haría un CAI,01:43
2024-11-03 20:17:26,phone,1989-06-23,female,5,8,Un poco ansioso,La seguridad,SI,"En bosques de Maracaibo, más comercio",01:57
2024-11-03 19:55:01,phone,1966-10-07,female,9,10,Muy Feliz,Promover más el deporte en los niños,SI,Canchas deportivas en mi barrio no hay,03:34
2024-11-03 19:48:55,phone,1958-08-24,male,9,9,Muy Feliz,Seguridad y mano dura con la delincuencia,SI,Vereda El picaho,02:05
2024-11-03 18:49:05,phone,1961-07-31,male,10,10,Muy Feliz,Seguridad y tanta personas que delinquen de otros lados,SI,"Tomás Uribe,  reubicar los areneros y habitantes de calle",02:13
2024-11-03 18:45:54,phone,1959-02-07,male,7,8,Feliz,Total seguridad para nuevos emprendimientos y para el comercio ya existente,SI,"Presidente Junta de Acción Comunal Miraflores Pavimentar el tramo de la carrera 37,correspondiente entre la calle 32 y calle 33.",08:06
2024-11-03 18:04:38,phone,1989-11-28,male,10,10,Muy Feliz,La seguridad,SI,"Quintas de san felipe  Buscaría ayuda del municipio para mejorar la seguridad,el consumo de sustancias y la botadero de basura en el barrio",02:43
2024-11-03 17:58:46,phone,1995-12-11,male,8,10,Feliz,"Trabajar siempre de la mano de todas las personas en general. Generar un buen ambiente de seguridad y bienestar para las familias. La seguridad, la educación, la salud, y la estabilidad económica siempre va a ser la base",SI,La independencia. Invertiría en educación y proyectos para jóvenes y familias.,03:26
2024-11-03 17:28:24,phone,1976-10-31,female,3,5,Un poco ansioso,"Yo cambiaría el bullicio, en qué aspecto, que si alguien desea escuchar música, que haya una norma que le exija no permita sacar a la calle o al antejardín de su casa un bafle a todo volumen para interrumpir la tranquilidad de las demás personas, ya que mis derechos terminan dónde inician otros",SI,No permitiría que en mi barrio haya negocios donde expenden licores y pongan música a muy alto volumen a muy altas horas de la madrugada.,04:43
2024-11-03 13:50:26,phone,1962-04-11,male,9,,Feliz,"Programas de ayuda social,  aseo de parques,  rivera del rio,  patrullar policial",SI,Barrio victoria.  Más aseo de las calles.  Cultura ciudadana,02:38
2024-11-03 13:08:09,phone,1983-12-22,male,10,10,Muy Feliz,"La inseguridad, se que se ha trabajado en eso pero aun falta.",SI,"casa del menor de bosques de Maracaibo, NO restablece los derechos de los niños niñas y adolescentes que estan alli, una problematica.",03:55
2024-11-03 13:02:01,phone,1969-12-10,male,10,10,Muy Feliz,Necesitamos más cultura ciudadana y ser más tolerantes también que hagan más fuentes de empleo,SI,Fátima nesecitamos hacer un frente de seguridad entre todos los vecinos y hacer más actividades para los niños en este barrio,04:05
2024-11-03 12:10:55,phone,1983-09-13,female,9,10,Feliz,Competitividad,SI,La falta de controles de ruido,01:09
2024-11-03 12:07:45,phone,1957-11-08,male,8,7,Feliz,"Me gustaría que cambiaran las personas  que amen la ciudad, que respeten a los ciudadanos, una buena convivencia. Que se quite esa actitud de traquetos que quieren ser los primeros en todo. Que mejore su comportamiento en las vías de acceso carros y motos especialmente. No respetan las señales de …",SI,Alvernia. Mejorar la separación entre comercial y residencial. Fue barrio residencial y permitieron la inclusiónde establecimientos comercia,12:41
2024-11-03 11:03:57,phone,1985-09-17,male,7,7,Neutral,Espacios para deporte y recreación para toda la familia,SI,La cruz,01:00
2024-11-03 10:29:45,phone,1984-10-13,male,6,7,Neutral,"La seguridad, mas espacios para el deporte y mejores vias ya que estan muy deterioradas",SI,"Nuevo Alvernia, seguridad en la parte de atras del nazaret y vias en mal estado, la paso ancho y una cuadra antes del colegio nazaret",05:20
2024-11-03 10:27:40,phone,1977-03-13,male,9,10,Feliz,Que la gente respete.las normas de transito,SI,Pavimentar,01:03
2024-11-03 10:24:39,phone,1985-11-22,female,5,8,Feliz,Seguridad,SI,Lomitas,00:56
2024-11-03 09:41:53,phone,1954-02-09,male,10,9,Feliz,"Más acercamiento a la gente,de parte de nuestra administración",SI,"CRA 27 bis detrás de el colegio caldas,cerca parque infantil , más entretención,a las personas que residen,cursos etc",06:25
2024-11-03 09:19:25,phone,1962-05-29,male,1,,Neutral,Que el señor alcalde traiga más obras para los barrios de Tuluá,SI,Gracias a Dios vivo en el barrio el paraiso donde ungran alcalde lo pavimento lo que Vélez no avía hecho,09:06
2024-11-03 09:01:52,phone,1970-04-27,male,9,8,Feliz,"Muchísima seguridad, más comercio y más distracción sana.",NO,"Barrio Victoria. Para mejorarlo un poco, sería reparar el pavimento de vías, pero eso sale costoso y ustedes suben cotos, para el peculado.",10:30
2024-11-03 08:57:55,phone,1989-05-25,male,4,5,Temo por mi vida,Creería que cambiar de mandatarios y la seguridad.,SI,Seguridad,01:32
2024-11-03 08:47:54,phone,1969-07-08,male,10,10,Muy Feliz,Extorsión,NO,Buenos aires. Señalizacionvial,02:31
2024-11-03 08:41:00,phone,1974-06-28,male,,8,Muy Feliz,Cambiaría al alcalde y sus secuaces,SI,Villa campestre....pa imentos de mi barrio,01:34
2024-11-03 07:59:07,phone,1965-04-03,male,8,8,Feliz,"La seguridad, cultura ciudadana, orden y aseo, incentivar el deporte y actividades culturales, la movilidad, entretenimiento, hacer la ciudad atractiva para que se incentive la industria, comercio y turismo.",SI,Nuevo albernia,07:47
2024-11-03 07:51:32,phone,1960-01-21,female,3,3,Un poco ansioso,"Más cordura y flexibilidad para con las personas, no más maltrato y ayuda para nosotros las personas mayores,y los servicios que nos están llegando muy caros y nos sentimos muy agobiados por este cobro ya no alcanza la plata para el diario vivir gracias",NO,"En el barrio diablos rojos, lo único que mejoraría esos niños que salen casi a la media noche a molestar tocando puertas y salir corriendo",06:39
2024-11-03 07:42:24,phone,1982-03-29,male,9,9,Feliz,Debemos hacer énfasis en el cambio de cultura ciudadana frente a la conducción de vehículos y motocicletas para se respeten y acaten las señales y normas de tránsito no adelantar por la derecha por otra parte culturizar a la gente para mantener limpia y bella a nuestra cuidad,SI,Santa Inés limpieza y encerramiento de lotes abandonados donde Arrojan toda clase de basuras y traen mascotas hacer necesidades y no recogen,08:59
2024-11-03 06:36:01,phone,1987-01-11,male,9,9,Feliz,"Hace mucha falta presencia de agentes de tránsito en especial en el centro y horas picó, gente sin respetar semáforos ni pares,  mucho carro y moto mal parqueados.",NO,"El Palmar   Creo que lo que ha presentado un aumento es la inseguridad en el barrio, más apoyo a los comercios.",10:09
2024-11-03 04:57:34,phone,1964-09-20,female,7,7,Un poco ansioso,La seguridad,SI,Maracaibo la seguridad,02:38
2024-11-03 01:25:34,phone,1982-09-09,female,10,10,Muy Feliz,La inseguridad que hay,SI,Trabajar más con las familias,01:13
2024-11-03 01:15:42,phone,1974-08-27,female,7,9,Neutral,Más empleos,SI,Pavimentar las calles,01:34
2024-11-03 00:34:11,phone,1975-02-26,male,7,8,Feliz,Mayor cultura ciudadana,SI,Salesianos,01:10
2024-11-02 23:56:12,phone,1996-09-09,male,1,0,Muy ansioso,"Mejor atención en salud mental. Genuinamente profesional, cálida y neurovalidante.",SI,La Campiña. Establecer de nuevo una junta de acción comunal,01:33
2024-11-02 23:54:03,phone,1983-12-22,female,5,6,Un poco ansioso,La seguridad y que no haya tanta extorsión,SI,La Moralia,02:10
2024-11-02 23:40:45,phone,1995-11-16,female,9,,Neutral,La inseguridad y más generar más empleo,SI,Barrio bloques de San Luis ordenaria la inseguridad y el aseo y la limpieza del césped del parque y el aseo de los residuos del hogar,06:04
2024-11-02 22:59:16,phone,1984-03-25,male,10,10,Muy Feliz,Más apoyo al comercio legal,SI,Diablos rojos,00:47
2024-11-02 22:50:43,phone,1979-06-05,female,4,4,Muy ansioso,Tranquilidad económica y emociona,SI,Seguridad en cuanto al monitoreo constante de patrulla motorizada ya que los que andan en moto se toman la zona cada 8 días,02:25
2024-11-02 22:47:43,phone,1980-02-12,female,8,6,Neutral,Mejoraría la seguridad y las vias,SI,Manejo de los residuos,00:59
2024-11-02 22:22:40,phone,1962-08-08,female,8,8,Un poco ansioso,Problemas socioeconomicos y de seguridad y salud,NO,Estoy..en Andalucia valle del cauca,03:26
2024-11-02 21:48:27,phone,1967-05-31,male,8,9,Neutral,Concientizar a todos los ciudadanos de la necesidad de orden y disciplina. Ejemplo en la Movilidad en el municipio,SI,Trabajo de socialización en lo ambiental por ejmplo,02:05
2024-11-02 21:30:03,phone,1982-10-09,male,10,10,Feliz,Las vías bien mantenidas y bien señalizadas.,SI,"Victoria. Controlar los habitantes de calle, los consumidores de sustancias psicoactivas y sitios de expendio.",04:48
2024-11-02 21:03:31,phone,1980-11-07,male,7,7,Neutral,"Mayor seguridad, más fuerte de empleo",SI,"Príncipe, seguridad, mayor presencia de policía, pero que paren a las personas y las requisen,  no solo parados en las esquinas chateando",02:27
2024-11-02 20:54:49,phone,1980-03-28,male,10,10,Feliz,Que haya seguridad para disfrutar de la ciudad,SI,Victoria. Arreglo de calles y la seguridad y el bullicio,01:46
2024-11-02 20:54:05,phone,1958-10-15,male,7,7,Feliz,Mejorar civicamente,SI,Alvernia Mejorar la convivencia,02:43
2024-11-02 20:43:42,phone,1979-09-30,male,8,10,Neutral,"La inseguridad, muchas vías con huecos que ya son cráteres, mucho indigentes.",SI,Fatima mejorar la avenida gaitan,04:06
2024-11-02 20:17:50,phone,1970-06-22,female,4,5,Muy ansioso,La seguridad,SI,La villa,02:05
2024-11-02 19:40:19,phone,1997-02-07,female,0,0,Triste,Inseguridad y falta de oportunidades laborales,SI,Guayavanes y mejoraría el botadero indiscriminado de basura ya que esto se presta para robos y que consumidores de alucinógenos,03:00
2024-11-02 19:24:25,phone,1990-08-02,female,4,6,Temo por mi vida,Primero la seguridad debe mejorar al 100% y segundo los contratos laborales exclavisan a los trabajadores en tulua y alrededores,SI,Campoalegre crearía un ciclo ruta tulua andalucia  vía tres esquinas con más dinamismo he inversión en seguridad y promoción,05:39
2024-11-02 19:21:00,phone,1959-01-08,male,10,10,Muy Feliz,Que ahiga  empleo y un sueldo dignó y.salud  y respecto acia el mas desamparado y no lo miren por encima del.hombro,SI,Barrio Guayacanes pavimentar las las calles y.carreras que aun faltan ase falta.unpuesto de salud y una mejor bijilacia policial,12:09
2024-11-02 18:53:16,phone,1966-04-28,female,8,9,Feliz,Los espacios públicos,SI,Entrerrios. Convertir el lcorredor del Jarillon en una zona verde protegida para salir a caminar tranquilamente todos los días,08:43
2024-11-02 17:02:27,phone,1982-09-03,male,2,4,Muy ansioso,"Más oportunidades de trabajo, más turismo en la ciudad y sus alrededores, posibilidades de estudio para mayores de 40 años para mejorar el curriculum",SI,"Las nieves, falta terminar algunas calles y también ayudar a los perros y gatos que habitan en la calle",03:06
2024-11-02 16:33:21,phone,1976-11-02,female,8,9,Feliz,"Más lugares de entretenimiento, más cultura ciudadana",NO,"La Esperanza, más unión",01:08
2024-11-02 16:05:08,phone,1985-06-23,female,10,9,Feliz,La vulnerabilidad que hay con los jóvenes y niños por parte de los  malechores. Que se están retirando de las aulas por están causa,SI,La villa Que hay una caseta comunal y no cumple con su finalidad solo es para alquiler y no realizar programas imder y la casa de la cultura,09:53
2024-11-02 15:58:30,phone,1956-02-19,male,8,8,Feliz,Salud y emplei,SI,Mejores parques biisaludabled,01:01
2024-11-02 15:56:46,phone,1956-02-19,male,9,8,Feliz,Salud y empleo.,SI,,00:47
2024-11-02 15:55:51,phone,1954-06-06,female,4,10,Neutral,Normal,NO,No,17:10
2024-11-02 15:43:35,phone,1962-02-15,male,10,10,Feliz,Que los políticos de turno no se roben todo,SI,Sajonia.el servicio de aseo.veolia es muy ladron,03:09
2024-11-02 15:24:05,phone,1972-09-02,male,9,9,Feliz,"Seguiría el ejemplo de Nayib Bukele, Fé en el Eterno y Todopoderoso DIOS, que hizo los cielos y la tierra, El DIOS de Abraham, Isaac e Israel. Para que El atraves del estudio de la biblia (Josué 1.8) nos limpié de corrupción y nos meta sus cosas buenas y nos use como ciudadanos justos.",SI,"Tomas Uribe Uribe. Realizaría una campaña de cultura ciudadana, para retomar los buenos  principios y valores. Crear una etica social.",06:45
2024-11-02 15:12:58,phone,1979-02-14,female,4,4,Un poco ansioso,Que tu viéramos una vida más tranquila sin tanto temor a salir y más oportunidad para poder salír adelante  por  que con tantas deudas ya no sabemos mos  como vivir,SI,En agua clara  en)  las oportunidades,06:21
2024-11-02 14:45:10,phone,1956-02-25,female,9,10,Neutral,"Empatía, Solidaridad, Respeto, Odio, resentimiento y Competencias leales en la Diversidad, juzgamiento a priori es un detonante para la violencia.. por tanto sí nos pusiéramos en la piel del próximo cambiaría el paradigma de años enquistado en nuestra bello Tulua. Sólo y sencillo es amarnos Hagámosl",SI,Rojas respeto en el uso de equipos de sonido pues nos altera al punto de estrés. Obligándonos a cerrar puertas y ventanas para mitigar el so,18:57
2024-11-02 13:51:31,phone,1958-06-30,female,10,,Un poco ansioso,Más empleo,SI,Urbanización la paz q todos los niños sean felices,02:15
2024-11-02 13:28:24,phone,2000-08-07,male,0,1,Temo por mi vida,Que se largue el alcalde y toda su caterba de inútiles. Sometió al pueblo tulueños a una guerra personal con la inmaculada.,SI,Arreglar las vias,02:01
2024-11-02 13:13:14,phone,1985-03-06,female,5,7,Un poco ansioso,La inseguridad que conlleva a flata de oportunidades laborales,SI,"Marandua, consumo de sustancias al aire libre",01:33
2024-11-01 16:00:07,phone,1973-06-10,male,7,7,Muy Feliz,Que tulua tenga más cara de ciudad y no de pueblo avenidas para mejorar la movilidad edificios que ya no sea mas la iglesia san bartolome la edificación más alta tulua es una ciudad muy importante para el valle pero le falta esa imagen de ciudad,SI,Barrio rojas mejorar las vías en general demasiados huecos y baches,06:28
2024-11-01 14:06:08,phone,1994-06-07,male,,,,,,,00:11
2024-11-01 13:58:33,computer,1988-02-29,male,10,10,Muy Feliz,,,,00:36
2024-11-01 13:36:12,phone,1940-01-25,female,8,8,Feliz,,SI,Pueblo nuevo la seguridad,00:51
2024-10-31 23:58:57,phone,1982-08-31,male,7,5,Neutral,Más inversión del gobierno en la micro empresa y más seguridad policial,SI,Las calles y la vigilancia de las autoridades  prados del norte,02:02
2024-10-31 20:02:46,phone,1955-10-04,male,10,,Muy Feliz,Más compromiso de las autoridades con el pueblo mucho consumo de drogas en los barrios,SI,Villa Liliana acabar con las drogas,03:55
2024-10-31 17:43:30,phone,1989-04-05,male,9,9,Feliz,"Hola soy de medellín y llevo viviendo 10 meses en Tulua, siento que tulua es una ciudad que no tiene bibliotecas ni centros culturales algo indispensable para reducir la criminalidad y la pobreza en el municipio",SI,Villa del sur,01:50
2024-10-31 16:59:37,phone,1963-06-28,female,6,5,Feliz,Quiero que mi ciudad  este mas limpia y que arrglen  Todas esas sonas donde hay mucho monte,SI,Las zonas verdes  estan muy abandonadas,05:05
2024-10-31 16:54:20,phone,1985-01-13,female,7,9,Un poco ansioso,"Hay Calles sin buena iluminación y lugares con deficiencia en este aspecto, y pi no que si se mejora eso, la gente querrá apropiarse de esos espacios y no sentirá temor al cruzar por allí. Seguir hermoseando y poniendo seguridad policial en los espacios públicos.",SI,"Villa del Sur. Cómo en otros sectores adecuar espacios de actividad saludable para el público Bancas para quienes los visitan, e iluminación",07:18
2024-10-31 16:10:21,phone,1967-10-23,female,3,5,Muy ansioso,La seguridad La falta de oportunidades Falta de empatía con las personas mayores,SI,Acondicionamiento de parques y zonas verdes. Pavimentación completa de las calles. Despeje de cañaduzales y lotes baldíos.  Campañas,06:08
2024-10-31 15:48:41,phone,1995-06-01,female,10,10,Muy Feliz,"La seguridad, ya que la gente se está yendo por la inseguridad y los jóvenes están siendo los culpables… educación",SI,Seguridad y cámaras para saber que actos y quien es la persona,01:15
2024-10-31 15:35:18,phone,1986-08-18,female,9,8,Feliz,"Más intervención social en proyectos de desarrollo urbanístico como infraestructura en mejorías viales, intervención en infraestructura abandonas para proyectos de inversión y en educación más apoyo en educación financiera en los Colegios",SI,"Portal de San Felipe,  frente a la avicola a la chica , via a 3 esquinas . Intervención zonas verdes y reductores de velocidad",05:09
2024-10-31 10:16:57,phone,1963-03-09,male,8,9,Feliz,Persecccion de seguridad  Mejor convivencia,SI,Bosques de Maracaibo  Que seamos una comunidad más unida,01:43
2024-10-31 03:35:50,phone,1987-09-03,female,0,3,Muy ansioso,La inseguridad la limpieza de los lotes vacíos más lo que quedan Serca de los colegios que huviera ayudas económicas para mujeres cabezas de hogar,SI,Nuevo farfan que hubieran lugares donde poner la basura para que los animales no la boten,03:18
2024-10-31 01:46:48,phone,1963-05-18,male,10,10,Muy Feliz,"Mejorar el comercio,acabar con el flagelo de la extorsión",SI,Jardin,01:19
2024-10-31 01:21:17,phone,1987-02-06,female,9,10,Feliz,"Adaptaría otro parque por el estilo del parque de la familia, donde sean vigilados por alguien para q sean espacios de sano esparcimiento",SI,"Portal de San Felipe, mejoría la iluminación de la entrada y como queda la entrada del colegio haría q estuviera limpio y podado siempre",03:10
2024-10-31 00:01:51,phone,1995-08-26,female,7,6,Un poco ansioso,"La seguridad, ahora no me siento segura en mi emprendimiento me da miedo poner local. Me da miedo que mis hijos salgan a la calle todo en tiempo nos sentimos inseguros.",SI,"Las nieves, pavimentar calles, control con tránsito la gente estaciona mal y no dejan circular. Rondas de la policía ya que no lo hacen",05:41
2024-10-30 23:28:22,phone,1981-03-14,male,9,9,Feliz,La inseguridad,SI,Veraneras   más actividades deportivas y culturales para la población en general,05:09
2024-10-30 23:19:45,phone,1964-06-09,male,10,10,Muy ansioso,Arreglar muchas calles,SI,La esperanza le haría el polideportivo para que los niños y los adultos mayores tengan un espacio para ellos,04:52
2024-10-30 22:57:32,phone,2001-01-05,female,8,8,Muy ansioso,Actividades al aire libre por los barrios,SI,Villa del sur Mejoraría la situación de los parques,01:35
2024-10-30 22:31:35,phone,1992-06-18,male,8,8,Feliz,"La seguridad y reactivar el comercio a través de eventos públicos, conciertos, planes de descuentos, incentivos para la empresa y la industria",SI,12 de octubre.. mejorar la vaya vial,01:30
2024-10-30 21:12:07,phone,1967-08-03,female,1,,Muy ansioso,Que de verdad los dueños del sistema piensen en el pueblo y lo dejen trabajar&#039;,SI,Avenida cali&#039;&#039;el barrio no es el asunto es la inseguridad que se vive,05:04
2024-10-30 20:29:08,phone,1973-08-27,female,7,6,Neutral,"Las entidades que nos atienden, como la sedama y veolia, hace rato tengo un radicado para pida de árboles,  semana dice que ya mandaron el comunicado a veolia  pero veolia nada,  ka pida es en ka cra 16 entre calle26 a y 26 c de la esperanza en un oracion de la alcaldía, cuando hubo allí un intento",SI,"De la esperanza y urge la poda de unos árboles que generan inseguridad, cra16 entre clle 26a y 26 c de la esperanza, ya huno intento de robo",05:47
2024-10-30 19:34:57,phone,1967-08-21,male,6,4,Un poco ansioso,Tranquilidad.trabajo y 0 Cro delincuencia,SI,Retiro más convivencia con los vecinos  Apoyo y comunicación,04:04
2024-10-30 19:00:03,phone,1954-08-30,male,5,8,Un poco ansioso,"Que se acabé la delincuencia, que la autoridad tome el control, que Tulua sea el paraíso de antes",SI,Morales urbanización la Villa,04:28
2024-10-30 18:41:05,phone,1966-02-02,female,3,4,Un poco ansioso,Promover que todos siembren árboles,SI,La Bastilla,02:28
2024-10-30 18:31:05,phone,1954-02-09,male,10,10,Muy Feliz,Ningún aspecto,SI,Mas entretención,02:33
2024-10-30 17:37:15,phone,1993-09-02,female,10,10,Feliz,Que la via hacia mategudua le hicieran mantenimiento vajo  y subo todos los días a trabajo en la escuelita de halli y cada vez más dañada la via sufre mucho los vehículos por tanta piedras y huecos y todos los que transitamos diariamente,SI,Corregimiento mategudua. Ayudar a seguir conservando la hermosa naturaleza con toda su diversidad que nos rodea,11:29
2024-10-30 17:11:51,phone,1955-04-11,male,10,10,Neutral,La policia el ejército y lavdroga,SI,,01:39
2024-10-30 15:55:43,phone,1975-12-10,male,10,8,Feliz,La  inseguridad . No me siento seguro  en ninguna parte..,SI,En el barrio la santa cruz . Mucho consumo y venta de estupefacientes  y falta pavimentación en la parte baja del barrio.,03:24
2024-10-30 12:12:07,phone,1965-11-01,male,10,10,Neutral,Nuestro comportamiento en las vias mas toleramcia,SI,Panamericano,11:00
2024-10-30 10:07:54,phone,1987-06-04,female,5,7,Un poco ansioso,Cambiaría la inseguridad el temor que ya da salir a la calle y por su puesto las pocas oportunidades de empleo para las que somos mamás y queremos seguir adelante con nuestras vidas,SI,"San Antonio,mejoraría la cancha deportiva y como queda cerca el parque de los sueños,haría un control de ese parque para q dejen tanto consu",03:19
2024-10-30 09:34:43,phone,1968-03-13,female,5,4,Neutral,La educación desde la Flia y la manera de buscar de DIOS. Enseñamos Valores y Principios a nuestros hijos . También enseñándoles el respecto y el Temor por Dios.,SI,Barrio Rubén Cruz .  Mejoraria  el Ruido y la contaminación.  debido al alto fluido vehicular .,07:56
2024-10-30 09:14:48,phone,1980-12-11,male,10,9,Neutral,"Más señalización para vehículos, tapar muchos huecos y más espacios deportivos tanto para jóvenes como para adultos.  Me falto mejorar los parques, más recipientes para depositar basura en los parques y las calles.  Esto me aria muy feliz",SI,"El estado de los parques, más señalización  Soy del barrio la esperanza de tulua",05:13
2024-10-30 09:05:53,phone,1986-03-16,female,9,7,Feliz,Seguridad para tener más tranquilidad,SI,"Barrio Popular, más presencia de lapolicía, se ve mucho consumidor de vicio por esta zona que viene de la casona",01:41
